household_id,util_drivers_2,util_drivers_3,util_drivers_4_up,util_persons_16_17,util_persons_18_24,util_persons_25_34,util_presence_children_0_4,util_presence_children_5_17,util_num_workers_clip_3,util_hh_income_0_30k,util_hh_income_30_75k,util_hh_income_75k_up,util_density_0_10_no_workers,util_density_10_up_no_workers,util_density_0_10_workers,util_density_10_up_workers,util_asc,util_asc_san_francisco,util_asc_solano,util_asc_napa,util_asc_sonoma,util_asc_marin,util_retail_auto_no_workers,util_retail_auto_workers,util_retail_transit_no_workers,util_retail_transit_workers,util_retail_non_motor_no_workers,util_retail_non_motor_workers,util_auto_time_saving_per_worker
841891,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,18.0,0.0,0.0,0.0,3.8777359295054006,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.939661026000977,0.0,6.888075828552246,0.0,5.937467575073242,0.2638649642467499
990869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,18.0,0.0,0.0,0.0,5.664372809048735,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.886283874511719,0.0,6.440720558166504,0.0,6.420289516448975,0.5315678715705872
125886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.9,0.0,0.0,0.0,0.0,10.0,0.44330410087379946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.9757719039917,0.0,6.071799278259277,0.0,6.1056413650512695,0.4197133481502533
727893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.1,0.0,0.0,0.0,0.0,10.0,83.5870567218022,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.140908241271973,0.0,7.929397106170654,0.0,8.117417335510254,0.12387166172266006
431928,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.4,0.0,0.0,10.0,83.5870567218022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.140908241271973,0.0,7.929397106170654,0.0,8.117417335510254,0.0,0.0
1173905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,15.0,0.0,10.0,83.5870567218022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.140908241271973,0.0,7.929397106170654,0.0,8.117417335510254,0.0,0.0
2741769,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,45.0,46.599999999999994,0.0,0.0,7.589263670062815,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.828604698181152,0.0,5.931183338165283,0.0,5.684353828430176,0.3513558506965637
1061466,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,30.0,24.43,0.0,0.0,0.0,5.533919450132994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.764677047729492,0.0,5.77480936050415,0.0,5.884746551513672,0.39755338430404663
1757084,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,30.0,33.6,0.0,0.0,0.0,10.0,6.355688494818928,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.945577621459961,0.0,6.99648380279541,0.0,6.5652079582214355,0.33543554941813153
2763396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.6865875670223485,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.930688858032227,0.0,6.833316802978516,0.0,6.715019226074219,0.0,0.0
2228827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,45.0,50.0,0.0,0.0,10.0,5.6865875670223485,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.930688858032227,0.0,6.833316802978516,0.0,6.715019226074219,0.35286998748779297
1448863,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,45.0,4.400000000000006,0.0,0.0,10.0,12.056656085976961,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.059919357299805,0.0,7.403460502624512,0.0,7.08221435546875,0.22427502274513245
31153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,10.0,12.056656085976961,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.059919357299805,0.0,7.403460502624512,0.0,7.08221435546875,0.0,0.0
829582,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,24.200000000000003,0.0,0.0,0.0,10.0,12.056656085976961,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.059919357299805,0.0,7.403460502624512,0.0,7.08221435546875,0.15767666697502136
